name,quadrant,ring,score,description,community update,movement
open-mmlab/mmcv,AD,Assess,1.6472862490326508,OpenMMLab 的基础视觉组件库，提供高性能算子、训练工具和数据处理模块，支撑检测、分割等视觉任务开发。,在近30天内，open-mmlab/mmcv 项目活跃度集中于依赖兼容性修复与用户问题反馈。核心进展为 PR #3326 和 #3328 针对 setuptools 82.0+ 引发的安装失败问题展开修复，该问题已在 Issue #3325 中被多位用户报告，显示出社区对环境稳定性的高度关注。除修复外，还存在关于 CUDA 编译配置（#3327）和文档缺失（#3324）的开放问题，表明项目在易用性层面仍有优化空间。目前无新版本发布，也未见官方 roadmap 或外部动态，所有活动均限于 GitHub 内部的开发协作。整体趋势显示项目正积极应对 Python 生态升级带来的兼容性挑战，但缺乏高层规划或社区推广信息，未来需加强版本发布节奏与用户沟通机制，以提升项目透明度与信任感。,new
open-mmlab/mmdetection,AD,Assess,2.0,OpenMMLab 的目标检测工具箱，集成丰富模型与训练配置，支持从研究复现到工业部署的端到端流程。,在近30天内，MMDetection 未发布新版本，也无重大功能更新或修复提交，但社区活跃度仍体现在多个PR与Issue中。其中，PR #12431 和 #12430 分别优化了数据加载与ONNX导出，提升了工程实用性；PR #12300 修复了配置路径解析问题，增强了稳定性。最值得关注的是 Issue #12335 报告的 CVE-2024-12044 安全漏洞，涉及模型权重加载时的路径遍历风险，建议用户及时关注官方安全通告。外部动态方面，EI2026 会议中展示了 MMDetection 在实时检测场景中的实际部署，体现了其在工业落地中的影响力；LinkedIn 上也有开发者分享教学内容，反映其在教育领域的普及。整体来看，项目处于稳定维护期，核心功能成熟，安全与兼容性优化成为近期重点，未来趋势可能聚焦于安全加固与部署工具链完善。,new
open-mmlab/mmdetection3D,AD,Assess,0.40421822868527046,面向 3D 目标检测与点云感知的开源框架，支持多模态融合、数据集适配和自动驾驶场景评测。,在近30天内，open-mmlab/mmdetection3D 未发布新版本，也无合并的 PR 或新创建的 Issue，整体开发活跃度较低。仅有两条未合并的 PR（#3140 和 #3141）涉及模型推理优化与数据预处理修复，表明社区仍在进行小范围功能改进，但尚未进入主干。外部动态方面，唯一值得关注的是 Think Autonomous 在 2026 年 2 月 9 日发布的行业报道，提及该框架在自动驾驶感知系统中的实际应用，侧面印证了其工程落地价值。目前项目缺乏明确的 roadmap 信息或官方技术博客更新，未来趋势尚不清晰。建议关注后续 PR 合并进展及 OpenMMLab 官方渠道是否发布新版本计划，以判断项目是否进入下一阶段迭代周期。,new
open-mmlab/mmengine,AD,Assess,1.0145125871232614,OpenMMLab 的通用训练引擎，提供配置管理、训练循环、评估与日志能力，用于统一各视觉仓库的工程基础。,在2026年2月3日至3月4日的30天窗口期内，open-mmlab/mmengine 仓库未记录任何新提交、合并的PR、创建的Issue或发布的版本。所有历史活动均早于时间窗口起始日，表明该阶段项目处于相对静默期。外部渠道（包括官方博客、技术媒体、会议公告及核心成员动态）亦未发现与该仓库直接相关的更新或新闻。尽管此前版本（如v0.11.0rc2）曾有显著迭代，但近期无功能增强、缺陷修复或路线图披露。此状态可能反映项目正处于稳定维护阶段，或开发重心转移至其他OpenMMLab子项目（如MMCV或MMDetection）。建议持续关注后续版本发布或官方公告，以获取下一阶段的开发动向。,new
ModelEngine-Group/fit-framework,AIAgent,Assess,1.0580855998313303,面向代理的规划和任务执行框架。,近30天内，fit-framework 以 v3.6.3 版本为核心，完成多项关键功能落地与稳定性加固，尤其在 Spring 集成、测试可靠性与流式处理方面取得实质性进展。PR #409 与 #399 显著扩展了框架在企业级 Spring 生态中的适用性，而 PR #397、#398 等修复显著提升了开发体验。Issue 队列中 MCP 相关需求密集，表明团队正聚焦于构建支持 SSE、应用编排与动态策略的下一代轻量流程引擎，技术路线清晰。尽管外部动态缺失，但内部迭代节奏稳定，社区活跃度高，PR 与 Issue 交互频繁，显示出良好的开源治理能力。当前版本已具备生产级稳定性，未来版本有望在实时事件驱动架构上实现突破。,
coze-dev/coze-loop,AIAgent,Assess,1.5957361439199327,Coze 平台的循环任务处理组件。,在近30天内，coze-dev/coze-loop 项目活跃度集中于代码贡献与文档完善，共产生19个新PR和1个用户提问Issue，无新版本发布或官方外部动态。核心进展为PR #446引入的ThirdParty追踪支持，显著增强后端可观测性能力，是当前最重要的功能扩展。其余PR涵盖性能优化、测试覆盖、配置重构与文档更新，体现团队持续改进工程规范的倾向。Issue #444反映用户在本地部署中遇到的热更新问题，提示开发环境配置存在优化空间。项目未发布任何官方博客、会议公告或行业新闻，也未在Roadmap中披露未来规划，表明当前阶段以内部迭代为主，缺乏对外沟通。整体趋势显示项目处于稳定开发期，社区互动偏技术性，建议后续通过发布技术博客或更新Roadmap提升透明度与生态影响力。,
coze-dev/coze-studio,AIAgent,Assess,1.53023598820059,Coze 智能体开发平台的集成开发环境。,在2026年2月3日至3月4日的30天窗口内，coze-dev/coze-studio 仓库仅有一项有效发布：v0.5.1（2026-02-05），但其变更日志未提供具体功能或修复细节，无法提炼实质性进展。未发现任何已合并的 PR、新创建的 Issue 或与路线图相关的讨论，表明近期开发活跃度较低。外部动态方面，经多轮搜索，未找到任何官方博客、会议发言、行业新闻或核心成员公开动态与该仓库直接关联，相关搜索结果多指向 Visual Studio、GitHub Copilot 等其他平台，存在明显误匹配。整体来看，该仓库在近一个月内处于低活跃状态，缺乏公开的技术更新或社区互动，建议关注后续版本发布或官方渠道以获取更明确的演进方向。,
Physical-Intelligence/openpi,EmbodiedAI,Assess,0.44816021464162514,Physical Intelligence 开源的具身智能训练项目，聚焦机器人策略学习、数据处理与模型复现。,在近30天内，Physical-Intelligence/openpi 项目虽无新版本发布或提交记录，但活跃度集中于核心功能开发与关键问题修复。PR #890 的合并标志着配置系统趋于稳定，而 Issue #887 开源 π0.5 VLM 骨干模型是重大进展，显著提升社区可复现性。多项关键 Bug 修复（如 PyTorch 兼容性、DDP 竞争、big_vision 权限）提升了训练稳定性，尤其对多卡用户至关重要。同时，RTC 推理支持与 FAST 动作机制的优化，表明项目正向真实场景推理能力深化。社区对 π0.6 的强烈期待（多条 Issue 重复提问）反映出用户对开源节奏的高度关注，预示下一阶段可能加速模型开放。整体趋势显示项目正从基础设施完善转向核心模型开放与工程健壮性提升，具备清晰的演进路径。建议团队尽快明确 π0.6 发布计划，以回应社区期待并巩固开源影响力。,new
huggingface/lerobot,EmbodiedAI,Assess,4.0,Hugging Face 推出的机器人学习库，提供数据集、训练流程与策略模型，降低具身智能实验门槛。,在近30天内，huggingface/lerobot 以 v0.4.4 版本发布为核心事件，重点修复了高危安全漏洞（CWE-502）并优化了训练稳定性与日志系统，体现出对生产环境安全与可靠性的高度重视。同时，社区通过 Issue #3076 正式提出 RL Stack 重构计划，标志着项目正从功能迭代转向架构升级，未来将更注重模块化与可扩展性。多个高关注度问题（如内存占用、数据流失败、设备识别）持续存在，反映出在真实机器人部署场景中仍面临工程化挑战。尽管缺乏外部新闻或会议动态，但内部开发节奏紧凑，安全与架构并重，社区参与积极，预示着项目正从实验原型向工业级机器人学习框架稳步演进。建议下一版本优先解决内存与数据流问题，以支撑更大规模部署。,new
ByteDance-Seed/Triton-distributed,Kernels,Assess,0.5312900865679148,字节跳动推出的基于 Triton 的分布式训练通信扩展，支持多厂商硬件环境（如 AMD ROCm），旨在提升分布式计算的兼容性。,近30天内，Triton-distributed 在功能扩展与稳定性方面取得显著进展。核心亮点包括新增 little_kernel DSL 提升内核开发灵活性，以及 memcpy_async 和 CUDA graph capture 的引入，为高性能计算提供底层优化能力。在异构支持方面，成功将 low-latency allgather 移植至 AMD 平台并修复关键通信缺陷，极大增强了跨硬件兼容性。同时，修复了影响生产环境的多节点 reduce-scatter 崩溃问题，显著提升系统可靠性。依赖更新（rocshmem）和性能优化（PR #158）进一步夯实了技术基础。尽管无新版本发布，但多个关键 PR 同步推进，表明项目正处于活跃迭代期。外部动态方面，arXiv 论文提及团队相关工具链，间接印证其在大模型系统中的影响力。整体趋势显示项目正从实验性框架向生产级分布式计算引擎演进，未来有望在 LLM 训练与推理场景中发挥更大作用。,
